"COLLECTOR_SAMPLE_ID","COLLECTOR_STATION_NAME","YEAR","MONTH","DAY","LATITUDE","LONGITUDE","START_DEPTH","METHOD","DATA_VALUE","Date","median","mean","geomean","validn","sd","filtmean","cv","mad"
241201,"P5",2003,1,16,44.93333,-66.84999,1,"Chl_a",0.30755,"2003-01-16",1.47040998935699,1.48467011292775,1.48372290716034,75,0.0538688603260397,1.47213287673779,0.0279101047748622,0.0515906697750092
241217,"P5",2003,2,28,44.93333,-66.84999,1,"Chl_a",0.38566,"2003-02-28",2.3061511516571,2.32147569954395,2.3204213853868,64,0.0707384116852082,2.30986323356628,0.0246664375082876,0.0780387043476105
257114,"MFD-SETNO032",2003,7,6,44.11966,-66.58466,5,"Chl_a",1.71789,"2003-07-06",0.812479794025421,0.814997538236471,0.814861670132188,65,0.0150071648001781,0.814418722082067,0.0138046241517541,0.0163910158395767
257118,"MFD-SETNO033",2003,7,6,44.32966,-66.652,5,"Chl_a",3.58584,"2003-07-06",1.28429341316223,1.29283870391126,1.29185594651721,53,0.0512747105368349,1.28333462045548,0.0303586043255308,0.052164543557167
257122,"MFD-SETNO034",2003,7,6,44.29733,-66.6045,5,"Chl_a",1.56172,"2003-07-06",1.31515967845917,1.31599025515949,1.31537900021405,68,0.0405524046218849,1.31234520262685,0.0203950289590946,0.0349713062524796
257126,"MFD-SETNO035",2003,7,6,44.43783,-66.442,5,"Chl_a",5.45672,"2003-07-06",1.72630852460861,1.72017059723536,1.71924289095564,60,0.0567301400114609,1.72825029721627,0.0251091024856798,0.0608404299616814
257130,"MFD-SETNO036",2003,7,6,44.467,-66.54366,5,"Chl_a",5.56066,"2003-07-06",1.73703145980835,1.75523398540638,1.7529507367869,54,0.0906662573823105,1.74097247286276,0.0401276529540016,0.0976296806931496
257134,"MFD-SETNO037",2003,7,6,44.52233,-66.33033,5,"Chl_a",6.652,"2003-07-06",2.51958274841309,2.52613746109655,2.52471204456708,59,0.0859710414227326,2.51028609275818,0.0274563332267773,0.100995069551468
257138,"MFD-SETNO038",2003,7,6,44.6055,-66.33483,5,"Chl_a",4.62522,"2003-07-06",1.90763694047928,1.87833180384977,1.87579766773359,56,0.0972913988549432,1.90008090019226,0.0408640714100824,0.0974226301431656
257154,"MFD-SETNO043",2003,7,6,45.26083,-65.08933,5,"Chl_a",1.11056,"2003-07-06",5.60014295578003,5.58246859637174,5.58107974484272,11,0.130151072180759,5.60709924697876,0.0190475853996297,0.171330044174194
241284,"P5",2003,10,14,44.93333,-66.84999,1,"Chl_a",4.41734,"2003-10-14",15.6440019607544,15.9051198959351,15.6573567571618,3,3.43977231957579,15.9051198959351,0.216268242055497,4.50807389087677
240706,"P5",2004,2,17,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",0.312,"2004-02-17",1.962606549263,1.9590070327123,1.95848150150541,15,0.0468960221337944,1.95928371869601,0.0199191877505606,0.0541569301128387
263993,"MFD-SETNO060",2004,7,13,44.68716,-65.97011,5,"Chl_a",0.833,"2004-07-13",0.881844222545624,0.881844222545624,0.88172110148504,2,0.0208390034840294,0.881844222545624,0.0236311617757991,0.0218467050433159
263997,"MFD-SETNO061",2004,7,13,44.8613,-65.8537,5,"Chl_a",0.607,"2004-07-13",0.677123367786407,0.675985394102154,0.675719475103324,66,0.0191190244802157,0.675050906701521,0.0180315092392555,0.0155591904759407
263704,"MFD-SETNO062",2004,7,13,44.91538,-65.44981,5,"Chl_a",0.521,"2004-07-13",0.968425631523132,0.972250863909721,0.9721320171483,4,0.0176046088516911,0.972250863909721,0.0181070642415246,0.013852989667654
263708,"MFD-SETNO063",2004,7,13,44.98866,-65.35781,5,"Chl_a",0.521,"2004-07-13",0.771625697612762,0.771625697612762,0.767878808805629,2,0.107409051793891,0.771625697612762,0.139198386116728,0.11260297908783
241306,"P5",2004,11,16,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",0.636,"2004-11-16",3.06119465827942,3.1457544389893,3.11750879014553,68,0.431862092027874,3.05843232075373,0.108859846454362,0.420259241080284
241321,"P5",2005,2,14,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",0.32,"2005-02-14",3.26908016204834,3.27890024185181,3.27863990841121,5,0.0462222836648147,3.27890024185181,0.0140968862287527,0.0396444804668427
241351,"P5",2005,8,12,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",1.664,"2005-08-12",1.93989223241806,1.94274389743805,1.94043410540957,8,0.101238534502358,1.92076744352068,0.0449362577431136,0.119583048141003
241376,"P5",2006,1,13,44.93333,-66.84999,1,"Chl_a_Holm-Hansen_sF",0.39,"2006-01-13",6.17319631576538,6.17829761505127,6.15924729358926,70,0.486797934391936,6.18425278509817,0.0646188503798486,0.5732597884655
